Id,Label,Type
799,Le Beau Rivage by Curtis,Restaurant
800,Archibald De Prince,Restaurant
801,HAUT,Restaurant
802,Le Pristine,Restaurant
803,Sensum Gent,Restaurant
804,¡Toma!,Restaurant
805,Sense,Restaurant
806,DIM Dining,Restaurant
807,Barge,Restaurant
808,Le Cor de Chasse,Restaurant
809,Zur Post,Restaurant
810,Arabelle Meirlaen,Restaurant
811,Attablez-vous,Restaurant
812,Philippe Meyers,Restaurant
813,Bistro Racine,Restaurant
814,Le Coq aux Champs,Restaurant
815,Mosconi,Restaurant
816,Aux petits oignons,Restaurant
817,Fleur de Lin,Restaurant
818,Les Gourmands,Restaurant
819,Centpourcent,Restaurant
820,'t Stoveke,Restaurant
821,'t Korennaer,Restaurant
822,Guillou Campagne,Restaurant
823,Philippe Fauchet,Restaurant
824,Le Pilori,Restaurant
825,Melchior,Restaurant
826,Tinèlle,Restaurant
827,Un Max de Goût,Restaurant
828,EssenCiel,Restaurant
